keyword,betweenness_co,betweenness_vote_count,betweenness_vote_average,betweenness_revenue
based on novel or book,9683437.176186636,8513172.603820672,1328617.4683503897,9698287.555510648
sequel,3881441.3092369516,4228211.4860389605,483836.98299924465,4744213.340764791
murder,2695954.825527251,1471173.5999999994,300003.68235653255,2304772.152380952
new york city,1315173.7599567114,1121756.6500000001,305410.5404761907,1399564.1500000001
based on true story,1256216.9257936503,938426.833333333,411532.53836996306,1174642.883333333
revenge,1041260.9507978574,929577.9547619044,260961.9081895288,753948.0380952382
woman director,975667.4123376599,305110.68333333335,259547.40476190433,703923.7833333334
anime,858865.1686868675,140050.5,227757.89444444378,815245.6833333333
california,758629.5055666538,940754.1052631582,207135.26573347923,818679.9719298244
villain,717512.8754329009,1437216.227380953,170675.52566469958,966838.3809523806
england,663360.4857253855,462901.52777777746,98701.73283660797,593499.7499999999
dystopia,663265.8160237268,1209663.0203255464,94890.13741202226,710401.9036588797
amused,659814.2432875742,571765.5550125313,189876.86984795134,764624.2589807857
friendship,453474.8016455791,639253.7005050504,374450.106060606,484900.7833333336
love,452243.51620046614,286250.78333333327,112706.26190476201,375537.06666666665
superhero,394414.574242424,2234340.5318181813,49877.592815517666,566329.4925324674
martial arts,387653.9309523808,291840.8523809523,65188.769406470645,399199.0916666667
france,366430.34880952403,326961.41666666674,103696.46360028896,350584.21666666656
biography,344594.7646825396,187461.3333333333,215301.25979853477,313325.5833333333
japan,334415.94015151483,244465.75000000006,82950.67619047618,328110.00000000006
remake,317949.06025641016,253949.75000000006,123910.15952380963,359635.6666666666
intense,297955.15299422794,1361322.1363636362,313150.60242102237,363347.5787878788
lgbt,289340.450888001,154350.28333333333,111913.87142857167,235871.1166666666
sports,258736.69563492038,69603.95,39960.55555555552,279257.3666666667
magic,239662.40119782166,843761.3018023651,144225.91835104502,341661.2848054723
survival,237035.07619047607,169550.59999999995,78816.1452380952,238799.16666666663
based on comic,236805.3619769123,1010046.7484848485,79609.85024975032,321024.04101731617
alien,224341.45086580046,133804.88333333333,25445.078571428592,237990.63333333333
coming of age,218432.8123487618,165148.0666666667,135573.25357142882,178474.50000000003
supernatural horror,216396.0937451433,29607.888095238093,16208.970310245304,243183.18809523815
high school,215312.1932900428,131844.2333333333,90886.56587301599,235237.24999999994
based on young adult novel,188562.4238927738,697075.2217532466,36412.84260461762,225112.46118326116
19th century,176426.01336996307,142947.53333333335,94024.80952380998,188551.1666666667
spy,161825.75060633812,183120.5083333333,21764.866819291845,182747.29166666672
serial killer,160707.7506493507,72076.36666666668,32320.21753246753,160884.27619047614
parent child relationship,155969.93968253958,204781.07142857136,220894.87976190454,152852.76666666666
christmas,154146.2463314464,187495.39018759024,69719.19148629146,160406.29689754688
gore,129034.92460317453,89576.98333333334,66643.86428571423,122852.66666666669
admiring,127110.91764069266,102969.13392857148,105054.74281278922,121994.30515873019
spain,122658.99404761904,77977.08333333333,10294.081493506492,127934.83333333333
supernatural,120752.68660228675,77418.27142857142,59391.55404040398,147655.35476190477
husband wife relationship,117807.61666666679,58576.36666666667,75268.61515151506,152829.79999999996
monster,108414.01666666669,54349.03333333331,27367.783333333355,105740.61666666651
loss of loved one,107292.99642857151,207678.9,102259.5166666667,118155.45000000001
musical,106113.34835164835,112014.19999999997,64961.51388888881,132672.90000000005
detective,106009.54047619045,49821.54999999998,25874.644047619073,140181.06666666665
female protagonist,102999.51964702213,140539.54999999996,116725.45079365089,128322.59999999999
central intelligence agency (cia),101870.24944083695,36217.63333333334,11591.359343434347,109091.44999999998
vampire,101401.98142135642,67140.45238095238,6582.8095238095275,101787.36904761908
road trip,98878.51713564216,110987.86666666668,36313.36666666668,116920.89999999998
romantic,89856.08389286156,225560.08477633473,93092.91965682,124622.97601010106
