keyword,closeness
sequel,1.1712702261648253
murder,1.127845677205477
based on novel or book,1.121940370446489
superhero,1.1094376367713923
woman director,1.1085766940917487
based on comic,1.10100348618033
new york city,1.0883067768096153
villain,1.0781454500989416
anime,1.0734415082972082
hero,1.0559236208566474
lgbt,1.0527209032572444
independent film,1.0489109910639907
gore,1.0423945329773647
based on true story,1.0366962933885115
revenge,1.0346020496150454
love,1.0305771860576998
female protagonist,1.0256344909806079
supernatural,1.0193230110227234
slasher,1.012605538838163
based on manga,1.0055265222943452
detective,1.0019434298990997
intense,1.0018651703726629
bold,1.0010623563887113
marvel cinematic universe (mcu),1.0003810341454518
admiring,0.9954734985164212
shounen,0.9941723593913191
amused,0.9848802653309133
demon,0.9843595392353284
coming of age,0.9838730493182732
teenage girl,0.9765580542321207
dc extended universe (dceu),0.9752756177800088
super power,0.9680637472590163
serial killer,0.9679427696304362
family,0.9668497340352904
audacious,0.9653510136164933
absurd,0.9592932916852019
body horror,0.9590233878389551
whodunit,0.9571294734441115
england,0.9570989526092863
alien life-form,0.9551381878567559
halloween,0.9548920699237636
1980s,0.9544504870017267
grief,0.9542550771196031
gay theme,0.9469256417140134
guilt,0.9466035808355835
suspenseful,0.9457046841514565
friendship,0.9430472582939998
dark comedy,0.9421208713603432
cheerful,0.9399469089991835
loss of loved one,0.9379948613480777
husband wife relationship,0.9365420142576866
biography,0.9345153045211968
death,0.9335662552157605
prequel,0.9309362004124688
london,0.9285426721967182
adoring,0.9240834775046324
female friendship,0.9226950212654016
excited,0.922417236156295
police,0.9217528957261826
semi autobiographical,0.91439158578404
superhero team,0.9140330674808981
demonic possession,0.9133354978939352
remake,0.912498413215977
based on light novel,0.9123053127741227
magic,0.9121284746221151
survival horror,0.9089436567589716
anti hero,0.9084814962342262
dystopia,0.9068177055037397
playful,0.9027927546602502
1970s,0.9004508887851156
supernatural horror,0.8992908110428155
musical,0.8984155625921131
fbi,0.8974442851166946
slice of life,0.8963033178072782
suicide,0.8957649855888963
italy,0.8956010008189693
violence,0.8949376942411112
france,0.8945371541047913
anthropomorphism,0.8934930979391894
hopeful,0.8918602109441185
survival,0.89127121596814
brutality,0.8910036190077706
romance,0.8897538430582044
illumination,0.8891123978278939
1940s,0.8871968765802353
japanese high school,0.8870014516134916
teenage boy,0.88551809287751
school,0.884666395624279
affectation,0.8845188883252504
provocative,0.8837713290595791
supervillain,0.8809094421937468
based on video game,0.8806688785284219
historical drama,0.8790126131672286
south korea,0.8788273375327371
antagonistic,0.8758965805625634
witty,0.8693308868689283
death game,0.8690811549774224
mother son relationship,0.8660825506434224
tragic,0.8658761465717854
japan,0.8656496837687829
celebratory,0.8656289123514146
murder mystery,0.8641683293668936
tense,0.8640001674124805
