keyword,2000_2004,2005_2009,2010_2014,2015_2019,2020_2024,mean_rank_slope
dc extended universe (dceu),1530,1662,1576,88,31,457.2000000000003
based on light novel,1530,1662,630,99,64,449.5000000000001
supervillain,1530,1662,208,194,91,434.60000000000025
cliché,1530,1662,1029,167,107,434.1
illumination,1530,1662,158,255,84,429.9000000000002
seinen,1530,1662,611,100,208,420.6000000000001
clown,1530,1662,1202,326,125,414.6000000000001
based on webcomic or webtoon,1530,1662,1576,244,181,411.6000000000002
demonic possession,1530,1504,354,449,62,399.10000000000025
sign languages,1530,1662,394,323,223,395.3000000000001
the conjuring universe,1530,1662,799,571,119,391.3000000000001
murder mystery,1530,1662,447,621,102,389.70000000000016
generation z,1530,1662,1576,445,264,374.90000000000026
portal,1530,1662,1576,655,188,369.1000000000003
marvel cinematic universe (mcu),1530,691,137,19,24,368.4000000000002
boys' love (bl),1530,1662,690,799,132,365.90000000000003
parenting,1530,1662,928,867,109,363.7000000000003
cars,1530,1662,1576,398,352,362.0000000000001
superhero team,1530,704,666,39,61,360.3000000000002
alternate version,1530,1662,1576,532,303,358.40000000000015
jukebox musical,1530,1662,1576,902,123,357.4000000000002
based on toy,1530,1632,919,583,295,351.90000000000026
seoul,1530,1662,1576,617,300,350.5000000000003
spin off,1530,1361,1153,525,203,349.0000000000003
grief,1434,993,1576,292,43,348.3000000000002
japanese high school,1530,656,249,98,86,344.6000000000002
bdsm,1530,1365,1282,190,403,342.9000000000002
evangelical christianity,1530,1662,1576,785,277,338.30000000000024
edited from tv series,1530,1662,1576,239,551,338.10000000000014
singing,1530,1427,538,495,319,335.40000000000026
vrmmo,1530,1662,1576,987,196,334.3000000000002
isolation,1357,1662,528,350,349,332.80000000000024
slice of life,1530,510,385,97,74,332.50000000000017
reboot,1530,1247,368,538,239,329.10000000000014
social media,1530,1662,1576,182,630,328.0000000000002
death of wife,1530,1662,1576,456,512,324.20000000000016
new mexico,1530,1477,1493,891,219,320.8000000000002
body horror,1530,1603,1576,1391,37,319.8000000000001
meditative,1530,1662,232,481,530,318.1000000000002
resurrection,1530,1662,1576,925,337,312.3000000000001
ancient evil,1530,1662,1576,897,355,311.50000000000017
tense,1530,328,136,69,103,311.3000000000001
zealous,1530,1662,284,195,709,310.9000000000002
evil clown,1530,1662,1576,1391,126,307.9000000000002
