keyword,closeness
based on novel or book,18.74607810783678
martial arts,18.15321520231663
action hero,17.740364101520193
murder,17.69273890863586
revenge,17.69104906856774
california,17.477518371286
good versus evil,16.93509729402624
los angeles,16.897443605586055
magic,16.896390910687465
new york city,16.751422362996557
england,16.687460317271363
remake,16.54741578682424
france,16.530699911062857
london,16.48934338214845
dystopia,16.342893686129848
spy,16.303389862710684
loss of loved one,16.216999560849874
fantasy world,16.208019085563606
secret agent,16.113305807457966
parent child relationship,16.08965984953595
kung fu,16.08524004054991
sword fight,16.07516262649892
19th century,16.06378388566288
woman director,16.05841702686404
amused,15.959347948488608
admiring,15.942980799891304
paris,15.869351284717357
friendship,15.864496300373343
castle,15.809972460361221
elves,15.784833215077114
detective,15.750760309947589
fight,15.742491572133423
obsession,15.70039790937049
high school,15.683000236364316
based on true story,15.664863069362964
sequel,15.516785980533205
hopeful,15.364952163260934
battle,15.358872917700708
sword and sorcery,15.353374954257461
future,15.348563649358125
adoring,15.311671912791654
serial killer,15.243474227378963
japan,15.215613175038271
live action and animation,15.209655828505717
investigation,15.189721642591941
fistfight,15.163713139626271
coming of age,15.13750048591006
bravery,15.126373265514822
dwarf,15.092861285948317
journey,15.086444221147639
hero's journey,15.070480379979639
wraith,15.070480379979639
trekking,15.070480379979639
ring,15.070480379979639
daughter,15.050710006251688
intense,15.028727281578917
wizard,15.008617667666647
period drama,15.005040056227953
based on comic,14.999344446878174
artificial intelligence (a.i.),14.978213707169763
rape,14.906041421289423
shootout,14.903608629769387
cyberpunk,14.881714519697676
undercover agent,14.84776842203906
mexico,14.84390240478163
warrior,14.79681806105757
sibling relationship,14.788817110327988
dramatic,14.75867675849646
neo-noir,14.757712018162964
conspiracy,14.751806933715523
amnesia,14.74138144420666
superhero,14.683057918950645
san francisco,14.678315683794082
army,14.674122833151584
love,14.673787770178501
villain,14.638580170183317
writer,14.63568608708398
wuxia,14.629124509906363
nostalgic,14.62664088113101
gangster,14.621309298347526
central intelligence agency (cia),14.589506999085467
china,14.580778282752778
based on young adult novel,14.548335779375302
vampire,14.539283123477095
love of one's life,14.503489938315786
sword,14.463949538274075
flashback,14.457070166333894
man vs machine,14.451775571496464
witch,14.407324217899017
affectation,14.377448373329928
ghost,14.377312408607674
virtual reality,14.37702826053513
suspenseful,14.373733488460813
time travel,14.365873567105075
massachusetts,14.341872524166007
saving the world,14.336646940242227
anime,14.309416628656985
romantic,14.278625695718352
dying and death,14.267971143012508
vigilante,14.249729393839031
illinois,14.245894604519696
biography,14.232203289244806
steampunk,14.226356042237686
grand,14.191490501371911
road trip,14.177964207761248
romcom,14.175268662890954
teen movie,14.171777612689805
death,14.162409367252158
family,14.162322863373499
urban gothic,14.144635860211835
dreams,14.138252470399072
divorce,14.128693925479462
delusion,14.122911987417476
historical,14.119145525259075
sniper,14.109091192616413
scientist,14.104403075589067
hero,14.072907982447955
depression,14.055629489627277
secret identity,14.053112949489353
suicide,14.049451702077148
brutality,14.044732073823713
drugs,14.014511260913125
organized crime,13.996012092851885
rescue,13.993856446291222
antagonistic,13.97711452974015
drug dealer,13.96772124257705
absurd,13.94133666592015
psychopath,13.906515869258241
christmas,13.885644649443028
alien,13.877756574329071
marijuana,13.869768532515145
shounen,13.855724279307957
defiant,13.850868127913108
teacher,13.841823868955625
explosion,13.82588167386452
italy,13.825440347501885
vibrant,13.818522341503543
based on tv series,13.755430491515906
vampire hunter (slayer),13.752452475573676
1970s,13.704802072102682
heist,13.62557247407484
split personality,13.591687675371663
slasher,13.572056967046455
winged creatures,13.568265044468708
high fantasy,13.568265044468708
child hero,13.568200652467103
teen fantasy,13.561827507252936
school of witchcraft,13.561827507252936
soldier,13.561285587664011
appreciative,13.55740478823246
suspense,13.555921951560176
mystery,13.545183618413983
super villain,13.53799324043784
father son relationship,13.533021328922263
psychological thriller,13.510181720528271
hong kong,13.506387857934808
lgbt,13.478677789121079
drug trafficking,13.472018899661423
corruption,13.465278851392725
agent,13.458068537736901
germany,13.454175335930023
desert,13.44780835726647
supernatural,13.429813079975368
sports,13.412293699211608
hand to hand combat,13.405425189208561
supernatural power,13.38613263115853
motel,13.385108727565546
assassin,13.363595509355038
one man army,13.363483478306359
fighting,13.351145477868632
mission,13.346141840419511
whimsical,13.343566845550264
fighter,13.339518084617596
aggressive,13.332508177964261
love triangle,13.330629732457256
bold,13.326356684043839
jason bourne,13.32231989606473
foot chase,13.32231989606473
bourne,13.32231989606473
melodramatic,13.289425786056178
car accident,13.28846247357778
cheerful,13.28440152759187
survival,13.279177489277608
prince,13.27183618521421
thief,13.271575436474556
hollywood,13.270975930874485
hitman,13.264064608809056
cholo,13.260298368851721
gang member,13.260298368851721
mexican american,13.260298368851721
adult animation,13.245418603525199
fairy tale,13.24096018578918
ogre,13.220736348531366
computer,13.218050536414628
hologram,13.202240376203173
faith,13.184436905527013
culture clash,13.182602380429554
money,13.155632505254538
one against many,13.154808656475371
phone call,13.15373163886863
vengeance,13.145114967329192
single,13.136413760939222
teenager,13.126477511462232
fbi,13.110337097516974
extramarital affair,13.108550572585989
precognition,13.105338212452342
torture,13.10526382348287
key,13.102405669692823
mental illness,13.074713736840927
truth,13.071674648201597
underground world,13.071674648201597
computer virus,13.071674648201595
gnosticism,13.071674648201595
relationship,13.070660549432167
father daughter relationship,13.020901753917009
gun death,13.016179774857594
war,13.013692238871883
prison,13.013582827878231
holiday,13.007096359539618
princess,13.000684928771962
based on video game,12.991288812913183
angry,12.963230782974389
gore,12.955685431099932
