title,vote_average,vote_count,revenue,keywords
How the Grinch Stole Christmas,6.777,7984,345800000,"new love, based on novel or book, holiday, christmas party, village, santa claus, surrealism, thief, public humiliation, christmas, surreal world, cheerful, dr. seuss"
Gladiator,8.221,20290,465516248,"gladiator, rome, italy, arena, senate, roman empire, parent child relationship, emperor, slavery, ancient rome, revenge, battlefield, slave auction, historical fiction, ancient world, combat, chariot, philosopher, barbarian horde, 2nd century, successor, commodus, maximus, serene, defiant, gladiador"
The Emperor's New Groove,7.555,7096,169327687,"central and south america, kingdom, birthday, peru, emperor, villain, palace, berater, breaking the fourth wall, incan empire, assassination attempt, 15th century, hilarious"
Gone in Sixty Seconds,6.449,4700,237200000,"california, sibling relationship, car race, brother, blackmail, detective, car thief, heist, remake, betrayal, organized crime, shootout, police chase, explosion, lock pick, stakeout, illegal drugs, stolen cars, nostalgic, action hero, ford mustang, blacklight, intense, vibrant"
"Y decirte alguna estupidez, por ejemplo, te quiero",2.5,4,924057,"high school, friendship, based on novel or book, falling in love"
American Psycho,7.407,11789,34300000,"new york city, based on novel or book, businessman, psychopath, dark comedy, satire, wall street, serial killer, chainsaw, big city, psychological thriller, character study, white collar, harvard business school, voice imitation, 1980s, american businessman, bloody, ambiguity, psychological horror, horror, baffled"
The Family Man,6.8,2096,124700000,"businessman, workaholic, midlife crisis, holiday, second chance, first love, lost love, guardian angel, family man, christmas, what if, crisis of conscience, career vs family, christmas eve"
Snatch,7.816,9617,83557872,"robbery, trailer park, england, gypsy, gambling, bare knuckle boxing, slang, antwerp, pig, gangster, boxer, underground fighting, diamond heist, hard, pikey, hilarious"
Scary Movie,6.38,7419,278022760,"high school, psychopath, garage, satire, parody, crude humor, spoof, horror spoof, drugs, aftercreditsstinger, horror parody, enthusiastic"
Next Friday,6.451,621,59827328,"prison, escape, repayment, gang war, boy gang, prison escape, bully, revenge, los angeles, california, gang member, mexican american, cholo"
The Virgin Suicides,7.119,3483,10409377,"suicide, based on novel or book, michigan, suicide attempt, 1970s, coming of age, suburb, lust, family, catholic, overprotective parent, teen suicide, femininity, woman director, male gaze, anxious, cautionary, sisters, disheartening, foreboding"
In the Mood for Love,8.1,3091,15867968,"adultery, newspaper, secret love, martial arts, lovesickness, husband wife relationship, shanghai, china, marriage crisis, married couple, singapore, deceived husband, forbidden love, melancholy, neighbor, author, hong kong, extramarital affair, 1960s, intense, adultério"
What Women Want,6.445,4195,374100000,"telepathy, romcom, womanizer, single father, super power, teenage daughter, misogyny, advertising executive, woman director, female psyche, romantic, amused, appreciative"
The Legend of Bagger Vance,6.588,960,39459427,"based on novel or book, sports, heart attack, world war i, competition, golf, great depression, alcoholism, caddy, 1930s, savannah georgia, golf tournament, golf course"
The Perfect Storm,6.5,2468,328718434,"based on novel or book, natural disaster, u.s. air force, biography, based on true story, marine, disaster, shark, tragic event, thunderstorm, new england, jamaican, meteorologist, rescue boat, city hall, the flemish cap, male camaraderie, storm at sea, 1990s, man vs nature"
The Way of the Gun,6.319,477,19125401,"hotel, gunslinger, mexico, ransom, kidnapping, gangster, mexican standoff, sperm bank, rags to riches, surrogate mother, money, gunfight, drifter, criminal, desert, millionaire, neo-western"
Nightcap,6.325,137,0,"jealousy, parent child relationship, pianistin, illegitimate son"
Batman Beyond: Return of the Joker,7.339,1167,0,"dystopia, superhero, cartoon, killer satellite, cyberpunk, super power, save the neighborhood, super villain, masked superhero, save the day, teen superhero, good versus evil, based on tv series, direct to video, awestruck, vibrant, dc animated universe (dcau)"
Yi Yi,7.9,622,1528767,"daughter, love triangle, businessman, photography, bullying, middle class, taiwan, wedding, family, taipei, curious, thoughtful, admiring"
Book of Shadows: Blair Witch 2,4.315,882,47737094,"witch, forest, vision, paranoid, folk horror, absurd, ridiculous"
The Making of 'Evil Dead II' or The Gore the Merrier,6.7,14,0,making of
Malena,7.431,2409,14493284,"jealousy, sicily, italy, widow, world war ii, longing, beautiful woman, crush, sex trafficking, intrigue, pretty woman, milf, sad story, admiring, sympathetic, rich to poor, broken women"
The Debt from Baden Baden,0.0,0,0,"baden baden, dostoevsky, turgenev"
