keyword,closeness
sequel,20.562224302862703
superhero,19.545578866884803
murder,19.49850413914291
based on comic,19.35984281359415
villain,19.130896885146043
new york city,19.01650409240165
based on novel or book,18.968981899583007
woman director,18.9606272602425
hero,18.752791150582343
anime,18.626076243844775
gore,18.060629280607575
revenge,17.90014720084291
marvel cinematic universe (mcu),17.8644724118712
supernatural,17.78802872290912
bold,17.77272795725257
independent film,17.77042523892232
intense,17.75314215903014
lgbt,17.689311852750624
detective,17.660045853677413
slasher,17.6178769399177
female protagonist,17.593697854967683
demon,17.53983389133278
admiring,17.45150586584986
based on manga,17.448413596490926
dc extended universe (dceu),17.35650709177865
teenage girl,17.351135087521843
based on true story,17.34961807619161
love,17.316566666104066
shounen,17.290952796522877
family,17.246414093581013
alien life-form,17.17474296015449
super power,17.15722021793528
amused,16.95016609672074
halloween,16.906069412302347
serial killer,16.79754324783352
suspenseful,16.69753714593701
absurd,16.658783481707015
audacious,16.61050906719662
cheerful,16.571600024662647
whodunit,16.514843508618007
body horror,16.48860657507177
superhero team,16.45138682655159
loss of loved one,16.417278595268403
anti hero,16.35217956607516
excited,16.35062265787653
demonic possession,16.343004595571085
coming of age,16.341752145317177
1980s,16.33850707710379
police,16.27100938877824
prequel,16.247014829003987
death,16.220631932960703
husband wife relationship,16.21713884154792
musical,16.18047752037336
anthropomorphism,16.15296082042279
illumination,16.1366831478767
friendship,16.132183566434634
survival horror,16.11667585261651
guilt,16.063977897154277
magic,16.01767252540261
hopeful,16.00774241511611
supernatural horror,15.996414619436754
adoring,15.926432737315618
england,15.912863166270633
grief,15.911494084269128
dark comedy,15.876696918107704
biography,15.837472142130967
remake,15.766137874649162
supervillain,15.753295259924425
survival,15.671347938653433
gay theme,15.660462392628423
female friendship,15.659127532933159
witty,15.6503588680417
super villain,15.615267647982686
cliché,15.582225344610999
based on light novel,15.557937775290622
slice of life,15.52377719910628
based on video game,15.502436063615246
dystopia,15.482342374815786
romance,15.475025801297065
tense,15.46364545114592
live action and animation,15.437587833520714
joyous,15.434720812054088
antagonistic,15.405851203105613
martial arts,15.39091702351128
dramatic,15.384551685267263
celebratory,15.378633847362064
france,15.377632589802444
fbi,15.373669159619121
brother brother relationship,15.360382639451117
semi autobiographical,15.348561107119444
london,15.34680930990566
south korea,15.334777814307749
death game,15.302099152283619
the conjuring universe,15.288522582192654
ghost,15.27863031680242
japanese high school,15.256216596182318
brooklyn,15.22882429710079
parenting,15.228803769775826
affectation,15.204523616613752
school,15.181901042348892
mexico,15.17953559893874
1940s,15.154288683197874
superhero teamup,15.142113620357986
japan,15.137938607359613
jukebox musical,15.111118560856225
violence,15.094997283220003
murder mystery,15.076620990885305
playful,15.071393883665362
religion,15.045700089868749
suicide,15.015666540898888
