keyword,closeness
sequel,4.560989010098114
based on novel or book,4.541833399695161
woman director,4.221483634086516
new york city,4.183033020976119
female protagonist,4.148976329418583
murder,4.116067121718384
friendship,4.1101180368422225
lgbt,4.093453174802465
amused,4.086835006204015
family,4.0473317953484775
admiring,4.041220031056273
coming of age,4.021450827532785
suspenseful,4.014779328469454
intense,4.005583661429098
anime,3.9819769151743394
based on comic,3.9800771727031665
audacious,3.9705697420529056
based on true story,3.969641934153159
superhero,3.957604379913279
husband wife relationship,3.9442664309913202
adoring,3.9353864822511118
revenge,3.907732434308724
mother daughter relationship,3.907417759119072
playful,3.9033209496847805
villain,3.894960238274403
ambiguous,3.8944557201170906
magic,3.893904701947671
tragic,3.889618150581043
independent film,3.887680668423878
grief,3.880760803758039
empathetic,3.8791945299838613
1970s,3.8782177994500304
hopeful,3.8779492575367684
father daughter relationship,3.872161191779315
bold,3.8671332010033765
exhilarated,3.8540996195105324
based on manga,3.8529123812816337
anxious,3.8518965851034985
dystopia,3.8512083409401696
comforting,3.8499254145503383
1980s,3.846772351114679
absurd,3.839895125775341
love,3.8363858400176394
melancholy,3.8355240449965353
sentimental,3.8324318410366205
mother son relationship,3.8294741094768354
gore,3.828376918331463
supernatural,3.8275572193136664
body horror,3.8274313888639258
sympathetic,3.8269178751601576
romance,3.825817043312163
compassionate,3.815239761437526
aggressive,3.8145857375893337
california,3.8089493953611826
hilarious,3.8076770095493924
survival,3.80727716234743
guilt,3.8000734069026008
christmas,3.783886755393513
bullying,3.7802807910342686
excited,3.7795585380445065
complex,3.779096318159873
prequel,3.7785381408793643
teenage boy,3.778152222149723
loss of loved one,3.7779551618861924
lighthearted,3.771742890317602
cheerful,3.7715744796830086
teenage girl,3.770335969449778
father son relationship,3.7700524183946986
1990s,3.7699481300439186
inspirational,3.767672343450124
london,3.7676290248147972
england,3.7670692046969934
antagonistic,3.766865718821059
monster,3.763011287632257
remake,3.761783820502438
fantasy,3.7583642152015644
musical,3.7576303556894546
serial killer,3.7543973101291113
france,3.7498601633269355
supernatural horror,3.748452307724164
teenager,3.7478596258492045
gay theme,3.7469081096653993
assertive,3.74596893733814
flashback,3.7420510918922383
italy,3.7395272007988636
enchant,3.738953085235489
baffled,3.7383020453463027
japan,3.7379950360439893
dramatic,3.7354601123107734
high school,3.7333883477502914
dark comedy,3.7302061553499732
family relationships,3.729189654065623
witty,3.7281090775138326
shounen,3.7241018847388467
candid,3.7236255969140406
grim,3.7207003406310615
hero,3.716403251014772
martial arts,3.712608943166493
betrayal,3.7103681181996384
missing person,3.7089572868706506
complicated,3.7085293230024408
suicide,3.7084436313597893
brother sister relationship,3.7010630866522467
wolf,3.6995145248953714
affectation,3.698213903099955
robot,3.693969699336104
death,3.6921882527407845
brutality,3.6905228567680215
straightforward,3.685506027031122
sister sister relationship,3.6847943464793746
based on video game,3.6838707913706736
exuberant,3.682887281369907
1960s,3.682573695881215
slasher,3.681743395133634
1940s,3.6814276226786227
calm,3.6805960302792715
semi autobiographical,3.6804062490639615
reflective,3.68005882481927
female friendship,3.672945976186198
mental illness,3.6722124919978962
creature,3.671788999944099
vibrant,3.668908512185743
neo-noir,3.668730346406966
dreary,3.6678353467697127
enthusiastic,3.66747100055034
tense,3.6665657470096225
nostalgia,3.663494652594965
dog,3.660167042074519
earnest,3.6565086666689828
biography,3.656120771516856
nostalgic,3.6547879169481257
alien,3.6539305148378443
orphan,3.6492054167445107
singing,3.6465080351736496
desert,3.643387946688064
appreciative,3.6429657125663533
childhood friends,3.6392592835352353
fight,3.6355583060239356
sign languages,3.63313584630839
loving,3.6315321188841194
slice of life,3.6289948155639475
los angeles,3.628482574297079
cautionary,3.6261918034889016
giant monster,3.625165043604935
1950s,3.624438360023039
awestruck,3.623984572406893
grand,3.6238955729473616
curious,3.6228895811620347
tragedy,3.622800315358752
origin story,3.6217577939084804
based on play or musical,3.621498004668961
detective,3.620633187013109
introspective,3.620285308348927
whimsical,3.620208386443003
alien invasion,3.6198344049927824
angry,3.61974469732827
police,3.619314219117938
2000s,3.6190573100220282
fantasy world,3.618981941021796
mother,3.6182517828385548
demon,3.6174077690765096
spy,3.6172630368859666
marvel cinematic universe (mcu),3.6169254811903855
space opera,3.6144206393391443
romantic,3.6134846297682457
forest,3.6131694710386615
south korea,3.609947957314764
philosophical,3.608462789751232
cliché,3.6080352262970043
shocking,3.606584111780806
super power,3.6056286532592368
depressing,3.6049361497730734
world war ii,3.6040712153549714
male friendship,3.602446468864638
boys' love (bl),3.6019450778781996
