keyword,2000_2004,2005_2009,2010_2014,2015_2019,2020_2024,mean_rank_slope
missing person,1530,1662,440,154,100,436.80000000000024
sign languages,1530,1662,351,82,139,436.2
cliché,1530,1662,891,188,169,419.60000000000014
parenting,1530,1662,443,346,197,398.2000000000002
based on light novel,1530,1662,1106,279,249,394.5000000000001
spin off,1530,1568,1081,325,187,392.9
superhero team,1530,1577,1220,322,194,392.7000000000002
meditative,1530,1662,131,157,319,392.70000000000005
gentle,1530,1662,1576,126,335,392.6000000000001
generation z,1530,1662,1576,295,255,391.7000000000003
marvel cinematic universe (mcu),1530,1370,592,220,163,388.40000000000015
murder mystery,1530,1662,854,488,186,386.20000000000016
social media,1530,1662,1576,519,195,381.3000000000002
singing,1530,1331,1017,364,134,375.90000000000026
straightforward,1530,1662,376,787,109,371.70000000000033
wry,1530,1662,1576,374,323,370.2
seoul,1530,1662,1576,469,278,369.70000000000033
sister sister relationship,1225,1662,861,205,110,368.7000000000001
death of wife,1530,1662,1576,308,373,366.8000000000002
deaf,1530,1662,593,427,341,361.3000000000002
norway,1530,1662,1576,343,402,357.5000000000002
new mexico,1530,1457,1308,394,292,353.90000000000026
dark,1530,1662,1576,601,293,353.5000000000004
death of mother,1530,1662,757,564,332,349.4000000000004
courtroom,1530,1662,774,716,260,348.6000000000002
female empowerment,1530,1662,1576,464,412,343.4000000000002
dc extended universe (dceu),1530,1662,1576,763,269,342.1000000000002
based on toy,1530,1558,452,721,239,341.9000000000002
slice of life,1530,1096,604,460,141,341.4000000000002
wolf,1530,1423,495,861,104,341.4000000000001
shapeshifting,1530,1662,1576,734,291,340.59999999999997
zealous,1530,1662,262,714,306,339.60000000000025
video game,1454,1662,1151,480,351,338.8000000000003
boys' love (bl),1530,1662,484,988,175,338.40000000000026
seinen,1530,1662,827,335,503,338.10000000000014
clinical,1530,1662,182,297,523,337.90000000000026
based on myths,1530,1662,1568,750,304,336.40000000000003
legends or folklore,1530,1662,1568,750,304,336.40000000000003
tense,1530,668,191,115,126,336.1000000000003
reboot,1530,1048,651,372,188,336.0000000000001
infiltration,1530,1662,1576,331,537,331.7000000000002
monkey,1530,1662,807,641,409,326.30000000000007
professional assassin,1530,1662,1576,780,375,319.2000000000002
