keyword,closeness
sequel,3153.1490923082865
based on novel or book,3140.8338643209104
superhero,3127.5539994036453
based on comic,3127.464318374151
marvel cinematic universe (mcu),3108.7913342711377
dystopia,3083.749421646826
super power,3074.6127078415243
murder,3074.122264647513
intense,3057.963306554647
based on young adult novel,3054.7592125434726
superhero team,3053.657885082006
based on true story,3039.1521389519585
villain,3039.0638715609275
dc extended universe (dceu),3033.0471791345403
magic,3009.4608524246037
remake,3005.206078068534
hero,3003.9715947037
survival,3001.86636373534
new york city,3001.2277320055364
suspenseful,2998.9357166325094
artificial intelligence (a.i.),2998.7755235467293
anti hero,2996.392237592423
future,2995.977523621779
creature,2992.649828326351
father daughter relationship,2987.4067128733122
spy,2987.089745711398
1980s,2984.73415435293
female villain,2976.624352941297
amused,2975.0411484757983
love,2974.0009502071975
mutant,2973.915378109521
revenge,2973.657061612258
awestruck,2972.24109225445
space,2968.8313634679
saving the world,2963.498010765198
biography,2960.018113436291
dreams,2955.0488366012783
europe,2952.756998486904
time travel,2951.865216325475
compassionate,2951.15886792836
mercenary,2949.19060922826
alien invasion,2948.48412102215
woman director,2945.71888720344
martial arts,2945.1345826108877
supervillain,2944.0093722857264
vibrant,2938.6606350623315
psychological thriller,2937.009495434251
clown,2926.7458247891477
good versus evil,2924.9698078443503
coming of age,2924.966132581013
post-apocalyptic future,2924.812058912383
italy,2923.323258651786
small town,2919.8629855397885
space travel,2917.700056778588
california,2916.7799896770643
dramatic,2915.508819862054
morocco,2915.2643674429974
anthropomorphism,2913.272431765171
cyborg,2913.1083945593377
cartoon,2912.555786346582
missing person,2912.3797730437773
psychopath,2912.187668438567
mental illness,2911.3367785654955
excited,2909.5363119924536
fear,2905.697930202923
genocide,2903.9599239877307
joyful,2900.6843003536587
cosmic,2899.049362004702
wizard,2899.0104267701763
powerful,2897.2100048889542
character study,2893.2677773414694
dinosaur,2890.128726640912
tyrannosaurus rex,2890.128726640912
rescue mission,2889.793463150626
genetic engineering,2889.6708469413716
chase,2889.598444607131
snow,2888.1562466236765
gore,2888.15561057692
england,2886.2444868694242
ambiguous,2883.7575065930505
mother son relationship,2883.463079291207
south korea,2880.8151555585205
london,2880.6201624497517
rape,2878.6964791695805
summer,2877.2563926344574
escape,2877.092323249389
on the run,2876.208957141555
road trip,2875.6895544989366
killer,2875.440956720613
witch,2874.855309640796
criminal mastermind,2874.5038442185237
shrinking,2874.1404337945587
street gang,2874.0054984852122
social realism,2874.0054984852122
miniaturization,2873.9671822969367
ant,2873.9671822969362
formiga,2873.9671822969362
paris,2873.3110847723574
2040s,2871.1976759234303
monster horror,2870.612359358084
animals,2869.007113011989
los angeles,2866.6091311902974
parent child relationship,2864.1044470491083
19th century,2863.950358993649
lgbt,2863.45591135269
secret organization,2862.6945237102627
desert,2860.726321102388
aggressive,2858.767207218888
magical object,2858.3374619629617
mi6,2858.039241032317
maine,2857.992508274659
female protagonist,2857.782762625906
sacrifice,2857.4540561464883
bear,2856.254022624166
sister sister relationship,2856.1846607298844
secret government organization,2855.9207299939817
cyberpunk,2854.8723156757947
historical fiction,2853.654235236544
revolution,2851.6491140356
assassin,2849.644378086239
experiment,2848.8541690006095
live action remake,2848.2296884035213
france,2847.7682539201405
spacecraft,2845.4107842446165
pennsylvania,2841.6697188930602
kidnapping,2841.636412637266
action hero,2839.1471839341007
san francisco,2837.549691377894
philadelphia,2837.5357097426217
strong woman,2836.0572310540483
inspirational,2833.8228359766463
multiple personality,2833.4786045697992
dissociative identity disorder,2833.4786045697992
animal attack,2833.317551787947
optimistic,2830.713611782671
eroticism,2829.542467130679
scientist,2829.3227852511172
bdsm,2828.584039367307
alien planet,2827.3430253509505
forest,2825.906084837805
live action and animation,2824.8470597182077
flashback,2820.9414032182212
bullying,2820.2650664148896
robot,2819.896554709672
island,2819.324276920626
admiring,2819.2294058940015
isolation,2817.5573219794132
amusement park,2817.406351884713
world war ii,2816.56100073724
1920s,2816.469362855104
magical creature,2816.09640399411
android,2816.0944079706387
theme park,2815.5615239635918
reboot,2812.477190469746
enthusiastic,2812.3694019729687
dystopian sci-fi,2811.445251974358
central intelligence agency (cia),2810.811802490747
video game,2808.534828081148
usa,2807.419943996485
vision,2806.535531468034
winter,2805.13333547998
native american,2803.8341816310276
space opera,2803.0232881278
fairy tale,2801.481246676041
school,2800.499104929421
fame,2800.1080012441544
1970s,2799.9376719834454
secret agent,2797.9417837429637
guns,2797.7981499028797
mother daughter relationship,2797.7472588833325
betrayal,2796.9216664815094
comforting,2794.8407608976618
soldier,2794.0106683047748
neurosurgeon,2791.536572365006
family,2791.3416824858928
mountain,2789.347934315077
dark comedy,2789.070448972751
thoughtful,2788.781662614355
washington dc,2788.567119604314
training,2788.279871793823
professor,2788.157664167377
tense,2787.8939175395794
rescue,2787.3404169569244
nostalgic,2786.356652100467
kids,2785.4581897559615
time,2785.0687244485075
quest,2784.927878560858
high school,2784.328431443947
egotistical,2784.1194322671545
absurd,2783.0682684236676
musical,2781.513244144543
animal horror,2780.9790982471172
nature,2779.4717298828123
hopeful,2779.456779233859
doctor,2779.0925660026314
stereotype,2777.477535745337
injury,2776.586303980501
sorcerer,2776.568177030196
hilarious,2775.609542941408
alone,2775.217680495943
fight,2772.244481061363
alien,2771.9052328171647
foreboding,2771.1303452749016
dna,2771.106668257042
ridiculous,2770.8909769390148
conspiracy,2770.777921954998
australia,2770.57908404007
pilot,2769.8803975541773
romantic,2769.044587611957
wilderness,2766.349139054258
1990s,2765.657944173079
starvation,2765.610771797527
affectation,2764.7701047079613
introspective,2762.175491217997
scalping,2761.1928540848126
abandoned house,2760.5342744190757
norse mythology,2760.0226612389224
stranded,2759.741152751561
sentimental,2759.668943650579
africa,2759.090498833906
antagonistic,2758.827675065457
melancholy,2758.2198608315607
gay theme,2757.6610520919407
child murder,2756.9553612412205
vigilante,2756.9140549235267
beach,2756.072656609746
based on tv series,2754.9257608949624
infiltration,2754.7891653937954
depression,2754.5102347675866
astronaut,2754.3297873783836
planet mars,2754.303355922219
death of brother,2754.1481704040348
defiant,2753.425870772809
bounty hunter,2751.839651547169
spin off,2751.035624499256
self-destruction,2747.667547046701
nasa,2746.649549737792
teenage girl,2745.7341088012945
heist,2745.3452150683465
empathetic,2745.1090749285254
flying,2744.7526353139
struggle for survival,2743.875360959192
frightened,2743.3538191768016
complex,2743.343585228435
neo-noir,2742.2100388414933
1960s,2741.8765471959714
neo-western,2741.098115197498
