keyword,2000_2004,2005_2009,2010_2014,2015_2019,2020_2024,mean_rank_slope
dc extended universe (dceu),1530,1662,1576,14,13,468.20000000000033
illumination,1530,1662,215,344,46,428.6000000000001
supervillain,1530,1662,133,45,200,427.7000000000001
cliché,1530,1662,481,266,121,421.4000000000003
parenting,1530,1662,1085,428,52,419.0000000000002
meditative,1530,1662,194,356,97,417.2000000000002
cars,1530,1662,1576,353,118,413.30000000000035
sign languages,1530,1662,223,355,139,408.9000000000002
superhero team,1530,941,246,11,8,397.4000000000002
mother son relationship,1334,1505,597,81,77,393.8000000000003
norse mythology,1530,1662,209,217,287,393.1000000000002
greek mythology,1530,1662,803,253,286,389.7000000000002
vrmmo,1530,1662,1576,368,244,386.60000000000014
bdsm,1530,1622,1314,138,352,384.0000000000003
clinical,1530,1662,172,409,242,382.90000000000015
the conjuring universe,1530,1662,527,538,180,382.4000000000002
portal,1530,1662,1576,877,18,380.9000000000004
jazz,1530,1662,1576,511,205,380.1
murder mystery,1530,1662,1380,492,228,377.40000000000026
death of family,1530,1662,1576,641,154,377.3000000000003
norway,1530,1662,1576,475,252,374.3000000000001
professional assassin,1530,1662,1576,445,269,373.90000000000015
spin off,1530,1083,678,235,96,371.60000000000025
mad scientist,1365,1662,1576,458,113,370.8000000000002
gorilla,1530,1662,226,646,226,362.40000000000015
video game,1257,1662,601,158,213,359.2000000000003
murder investigation,1530,1634,701,830,167,353.00000000000017
straightforward,1530,1662,950,681,274,349.3000000000003
ancient evil,1530,1662,1576,666,299,345.80000000000035
clown,1530,1662,1359,48,608,345.8000000000001
legends or folklore,1530,1662,998,690,292,344.8000000000003
based on myths,1530,1662,997,690,292,344.80000000000024
female empowerment,1530,1662,1576,256,527,341.20000000000016
infiltration,1530,1662,1576,228,544,340.60000000000014
resurrection,1530,1662,1576,1227,59,337.70000000000016
magical creature,1530,1662,646,151,611,334.90000000000015
world war i,1530,1662,1576,254,576,331.60000000000014
live action remake,1201,1424,315,122,196,331.20000000000016
superhero teamup,1530,1662,1576,1391,15,330.10000000000036
teen superhero,1530,1662,191,1391,17,329.7000000000002
arrogant,1530,1662,1576,734,349,329.00000000000006
crime boss,1530,1662,993,531,459,327.3000000000003
spider web,1530,1662,1576,1391,33,326.5000000000001
teamwork,1530,1662,1576,1391,36,325.9000000000003
genocide,1530,1662,1563,66,713,323.00000000000017
struggle for survival,1530,1557,816,242,581,321.30000000000024
speculative,1530,1468,1576,379,479,319.1
aging,1530,1662,1576,683,432,317.50000000000034
racing,1530,1662,614,737,405,317.50000000000006
messiah,1530,1662,1576,1391,80,317.1000000000002
sand dune,1530,1662,1576,1391,80,317.1000000000002
giant creature,1530,1662,1576,1391,82,316.70000000000033
giant worm,1530,1662,1576,1391,82,316.70000000000033
adopted child,1530,1662,1576,1391,85,316.1000000000003
adopted son,1530,1662,1576,1391,88,315.5000000000002
stereoscopic film,1530,1662,1576,1391,90,315.1000000000001
marvel cinematic universe (mcu),1530,108,41,5,7,314.90000000000026
family dynamics,1530,1662,1576,1391,94,314.30000000000035
cliffhanger,1530,1662,1576,1391,99,313.30000000000035
atlanta,1530,1662,1576,530,532,312.8000000000001
nostalgia,1429,1662,1576,370,513,312.4000000000002
interdimensional travel,1530,1662,1576,1391,107,311.7000000000002
nuclear weapons,1530,1662,380,1391,108,311.5000000000001
empire,1530,1662,1576,1391,110,311.10000000000014
alternate version,1530,1662,1576,1359,128,310.70000000000016
knife fight,1530,1662,1576,1391,112,310.70000000000016
treason,1530,1662,1576,1391,115,310.10000000000014
celebrity,1453,1662,926,495,491,309.10000000000036
female superhero,1530,1662,1576,1391,122,308.7000000000003
crime family,1530,1662,1378,1357,142,308.10000000000014
teen social issues,1530,1662,1576,1391,126,307.9000000000002
demonic possession,1530,985,1011,523,223,307.6000000000002
world domination,1530,1662,1576,1391,129,307.3000000000002
egotistical,1530,976,1576,189,389,306.90000000000015
stranded,1530,1662,1576,218,724,305.6000000000003
origin story,1530,1662,197,1391,145,304.1
criminal,1358,1511,440,888,150,303.9000000000003
female police officer,1530,1662,1576,1391,151,302.90000000000015
wolf,1530,1488,1005,753,388,301.9000000000002
godzilla,1482,1662,1576,950,339,299.8000000000002
usa politics,1530,1662,1576,1125,301,299.5000000000004
creature feature,1530,1662,1576,975,378,299.10000000000025
kids,1302,1183,1576,185,309,298.40000000000015
alien monster,1530,1662,1576,1391,174,298.3000000000001
fighter pilot,1530,1662,1576,1391,179,297.30000000000024
global threat,1530,1662,1576,968,392,297.0000000000001
class differences,1316,1662,621,316,505,296.80000000000007
female assassin,1530,1662,1576,1391,188,295.5000000000002
evil king,1530,1662,1576,1391,191,294.9
motherhood,1530,1662,1576,1391,192,294.7000000000002
tense,1530,169,270,182,51,294.5000000000002
basement,1530,1662,1404,871,454,294.30000000000035
missing person,1530,1662,293,61,860,294.1000000000002
existentialism,1530,1662,604,1391,197,293.70000000000016
secret mission,1530,1662,1576,1391,199,293.30000000000024
action,1530,1662,808,717,544,291.7000000000001
monkey,1530,1662,1122,560,623,291.6000000000001
hedgehog,1530,1662,1576,1391,214,290.3000000000003
jazz singer or musician,1530,1662,1576,1391,216,289.90000000000026
generation z,1530,1662,1576,984,421,289.6000000000002
bromance,1530,1662,1576,1287,270,289.50000000000017
jukebox musical,1530,1662,1576,957,442,288.1000000000001
magic mushroom,1530,1662,1576,1391,229,287.30000000000035
mansion,1530,1179,1576,689,342,286.6000000000002
disrespectful,1530,1224,538,734,347,285.6000000000002
musician,960,1572,461,276,182,285.2000000000003
mmorpg,1530,1662,1576,1391,245,284.1
bank teller,1530,1662,1576,1391,248,283.5000000000002
social media,1530,1662,1576,373,760,282.9000000000002
oslo,1530,1662,1576,1391,252,282.7000000000003
child abduction,1530,1662,588,1391,255,282.10000000000014
climate change,1530,1662,1576,1093,408,281.3000000000001
alien planet,1530,69,512,139,91,280.8000000000002
singer,1497,1498,1370,268,717,279.00000000000017
new mexico,1530,1259,388,923,303,279.0000000000001
water,1530,1662,1576,1391,271,278.9000000000004
seaside town,1530,1662,1576,1391,273,278.5000000000002
family secrets,1530,1662,659,1362,290,278.00000000000017
talking dog,1530,1662,1576,1391,279,277.3000000000001
fear of death,1530,1662,1576,1391,280,277.1000000000002
brooklyn,916,1435,234,385,62,275.80000000000007
breaking the fourth wall,732,1662,839,269,55,274.7000000000001
alligator,1530,1662,1576,707,634,274.7
alternate dimension,1359,1662,1576,1391,123,274.30000000000007
sacrifice,720,1662,645,113,125,273.9000000000002
body horror,1530,1418,1576,1391,175,273.7000000000003
moral dilemma,1530,1662,354,1391,298,273.50000000000006
doll,1530,1396,1028,1391,169,272.70000000000016
atomic bomb test,1530,1662,1576,1391,302,272.70000000000005
20th century,1530,1662,1576,1391,305,272.1000000000002
wry,1530,1662,1576,977,512,272.10000000000014
evil tyrant,1530,1662,1576,1391,306,271.9000000000001
hunted,1530,1662,1576,1391,312,270.7000000000003
van,1530,1662,826,418,802,270.00000000000017
kaiju,1482,638,543,342,284,269.20000000000005
meteorite,1530,1662,1576,1391,321,268.9000000000002
3d animation,1530,184,122,293,131,268.90000000000015
killing spree,1530,1662,1132,1391,323,268.5
crime spree,1530,1662,1576,1391,323,268.5
sister sister relationship,1186,1662,408,115,620,267.90000000000015
religious horror,1530,1662,1576,1391,329,267.3000000000001
brother brother relationship,1185,1190,1461,594,148,267.00000000000006
singing,1530,952,1389,623,360,266.9000000000002
working class,1530,1662,1576,320,868,266.60000000000014
death in family,1530,1662,1576,1391,333,266.5000000000002
dark,1530,1662,1576,425,825,264.70000000000016
pathetic,1530,1662,1576,699,695,263.30000000000035
snow,1530,949,409,77,650,263.2000000000001
mature,1530,1662,1576,1391,353,262.5000000000002
disgusted,1530,1662,532,1391,353,262.5
giant monster,1306,626,543,343,138,261.9000000000001
used generative a.i.,1530,1662,1576,1391,357,261.7000000000002
king kong,1530,1662,1576,1391,358,261.5000000000003
giant ape,1530,1662,1576,1391,358,261.5000000000003
antisemitism,1470,1662,1576,1391,300,261.0999999999999
domestic abuse,1530,1494,1576,1391,278,260.7000000000001
ghostbuster,1530,1662,1576,1391,362,260.70000000000005
courtroom,1530,1662,1175,874,621,260.59999999999997
bitter,1530,1332,518,298,745,260.40000000000015
child murder,1530,1014,978,224,626,259.8
dreary,1530,348,245,283,264,259.70000000000005
covid-19,1530,1662,1576,1391,374,258.30000000000007
closeted homosexual,1530,1662,1576,1391,375,258.1000000000001
arrested development,1530,1662,1576,1391,376,257.90000000000003
action comedy,1530,1662,1576,1391,382,256.70000000000016
asian american,1530,1662,1576,1391,384,256.3000000000001
zealous,1530,1662,976,1018,573,255.8
birthday party,1530,1662,1060,321,924,255.3000000000003
secret government organization,1530,674,683,116,537,254.4000000000001
new york state,1530,1662,1576,1059,560,254.30000000000007
social commentary,1530,1662,1576,1391,396,253.90000000000006
space station,1530,1662,60,332,926,253.8000000000001
sex worker,1530,1662,1576,1391,397,253.70000000000005
anxiety,1530,1662,1576,1391,399,253.3
dinosaur,1217,506,786,72,170,252.80000000000015
teenage protagonist,1530,1662,635,1253,472,252.50000000000023
eroticism,1368,1577,1153,136,827,252.30000000000024
unassuming,1530,1662,1146,1239,480,252.30000000000015
global warming,1530,1662,1499,1391,404,252.30000000000015
spaceship,1530,1662,1180,1391,409,251.30000000000018
