keyword,closeness_co,closeness_vote_count,closeness_vote_average,closeness_revenue
based on novel or book,1.5615587506831745,2804.8873840029687,4.703100073815476,27.70230167229939
sequel,1.5374618931662014,2798.0872172085096,4.336448057511948,27.380851752775232
murder,1.525552542753572,2776.271604357649,4.259586148266925,27.006607454305914
based on young adult novel,1.5195093160643487,2789.205885976307,3.8862772467301303,27.004566685933714
based on true story,1.515513729015992,2764.326149888969,4.203422112846618,26.79792824109632
england,1.4990571251144373,2753.5705620195745,4.053838817283189,26.551740367305204
woman director,1.4933854459728182,2733.5353507432155,4.164877011809604,26.357097601111825
dystopia,1.4911673553667044,2784.6106268697004,3.9900337335533553,26.53009934689263
love,1.4911328558113432,2736.7565419906555,4.018063634744103,26.369725721369925
revenge,1.4895310823200427,2752.8803345242454,4.200879708805888,26.309723105073154
remake,1.48725251015593,2739.3332998604014,4.038326832214254,26.38955999233886
villain,1.486881614173938,2777.40955555313,4.04152451755306,26.59267378050269
new york city,1.4858246608240098,2760.6529190663587,4.199768152379007,26.321956349878995
biography,1.485347405555559,2728.1761951832223,4.014623652460609,26.260419250547223
amused,1.4846645859456142,2760.9139150072456,4.140088942007604,26.449315467852895
london,1.4780707107146092,2737.2783761518835,3.997382395367603,26.17704871921496
superhero,1.4696603469511968,2787.8528526002056,3.9329075316408413,26.323006901763904
anime,1.4692342937522538,2547.063393687346,4.0411773928831565,25.977712965932206
friendship,1.468563756426697,2753.372995548562,4.184978637083263,26.03130670567744
based on comic,1.4661625019134894,2785.829311686584,4.003514862474192,26.252952443530788
intense,1.4651192876513297,2776.61573000273,4.218008431317185,26.119904190449255
coming of age,1.4620481902362148,2719.044577463108,4.029130592859572,25.76018479148829
19th century,1.4567556887243216,2716.5446887418475,3.9435803213983864,25.829586563486284
france,1.4554493943024776,2732.402280342548,4.0409087390567855,25.837185008269714
california,1.4542991854330583,2739.3989381350348,4.166875129106785,25.746211418378536
serial killer,1.4524930982664797,2701.2779356578303,3.8698393058280383,25.649771190888217
survival,1.4484833582156769,2739.2900318411907,3.9529291288000827,25.696095030196865
supernatural,1.4474266632159516,2612.46933785716,3.930397956825972,25.741224828584368
fantasy world,1.445744643087537,2771.635615806013,3.7625536708753455,25.859403846085115
detective,1.4443448688636267,2724.353712273756,3.8737161375048204,25.562205257714634
sentimental,1.440245956565819,2723.8710074107294,3.927238064773799,25.639291471493678
romantic,1.436954489345531,2738.27661489499,3.9972489235483395,25.546395573660163
lgbt,1.4352397406320174,2674.2092088851186,4.018146830139947,25.135147020440645
shounen,1.4342637293538836,2391.8393413065282,3.793370693559813,25.323436804707796
magic,1.4335037491612728,2777.4669859335186,4.002413555206372,25.663614900595746
los angeles,1.4323638661196871,2721.8419410580477,3.975404465541515,25.351367636974388
paris,1.4297567928927262,2713.9832979736557,3.9611441566737553,25.371031600025987
admiring,1.4274829090055305,2715.350818881348,4.031525523615467,25.41519311234738
1960s,1.4252549384448747,2663.7124576043766,3.9282220302697715,25.08479813415733
vampire,1.4251335830503793,2698.372343921614,3.6642889043617197,25.242486177692033
suspenseful,1.4210492528816316,2741.630102463121,4.065363589450348,25.376145431117028
future,1.4203414640341125,2757.2344646023507,3.8484761033930535,25.30460041668327
affectation,1.4202478448589089,2720.043835804884,3.88798758309456,25.30852984653396
high school,1.4202177232268123,2662.7430466290625,3.983801209669148,24.941240634797488
based on manga,1.419018396213865,2413.9761019562484,3.907185766500371,25.01717164575654
super power,1.4185870916183594,2768.1699965955813,3.8146831729723334,25.460511892220637
investigation,1.4181330552972913,2717.8446502589136,3.880172307783793,25.02778661301155
martial arts,1.4175993655684287,2714.8800863625056,3.921150677058419,25.158808953053857
dramatic,1.4159350344437494,2748.9907329556177,4.016660649345334,25.297640437978654
gore,1.415136183290121,2661.2844852880858,3.9638066419227034,24.978346836675467
psychopath,1.4144573519820625,2696.2998675220347,3.8414222295963376,24.934585633253636
post-apocalyptic future,1.4135773471819473,2741.490698219307,3.7459931928359493,25.134001596284016
slasher,1.4130859332558654,2602.767490546178,3.6413899516261954,25.062665744545843
adoring,1.410336806147348,2698.501569559666,3.944760766805563,25.08818844918301
marvel cinematic universe (mcu),1.4097683257106572,2775.677745672738,3.6984436674338013,25.381842782705174
hopeful,1.4086582139828276,2749.6083586378045,3.97339210836833,25.142061326254783
drugs,1.4083863949482318,2665.2515790261346,3.88307935469611,24.74828613410661
1970s,1.4081508258987643,2654.500266365868,3.894039348503713,24.618276015767698
1980s,1.4080732850710214,2724.3756303554533,3.9749221468064033,24.844380579320685
whimsical,1.406250016933229,2715.557113844734,3.942221623722955,25.049045424569247
loss of loved one,1.4021134107465192,2721.386978524696,3.969938017012536,24.757330120462754
husband wife relationship,1.4005696799213978,2611.2200663129606,3.9706319539084314,24.85729230609528
brutality,1.4001076083054524,2693.4703714934917,3.9486246696243135,24.553362106933463
police,1.3998406359843643,2637.0725355312065,3.869969727479607,24.64996387371398
based on children's book,1.3959080430865751,2646.8711701709963,3.723153832608387,24.931094549059136
neo-noir,1.3956171417597578,2700.371189513379,3.9349420350652813,24.628661004055623
adventure,1.3939595254687618,2374.390725239259,3.7295032216183777,24.564473657489398
inspirational,1.3921479194470312,2713.5765951611497,3.9202127593066027,24.766859828619605
adult animation,1.391717141557569,2324.2268910963903,3.8684149190319226,24.37556847469884
witch,1.3914555787630214,2763.1363738247533,3.851690370508629,24.99410510295169
san francisco,1.3913510832962495,2708.8608676384556,3.797692164600331,24.68688570640171
gay theme,1.3907014781901141,2617.2326326149214,3.9029580857910817,24.21717526296386
world war ii,1.390681680475018,2660.8652053023684,3.8663430096366382,24.411995080334933
hero,1.38965409401375,2753.4698249426037,3.8731881278256477,24.99258920048966
japan,1.3886870578356423,2594.149229587107,3.9326254330047923,24.308506885117396
good versus evil,1.3885316201124502,2766.7646731622726,3.762142897751346,24.98982866466169
rape,1.3876590574389953,2655.6433931672245,3.8465098582006587,24.39016157082107
1940s,1.3860845825109798,2660.9529510678226,3.8112356498417475,24.562524573831585
battle,1.3856472176796943,2740.921423959476,3.861678576084574,24.790882394349133
wizard,1.3851301862410852,2769.546849596342,3.7760995269721165,24.94824986338358
anthropomorphism,1.3845001736251854,2725.9975276176965,3.80519495928462,24.9353867893143
complex,1.3843752923583843,2669.353968585267,3.9188848744218103,24.611133409068618
based on video game,1.3838421518587487,2518.5682230924353,3.6844482605291957,24.337033374761347
bold,1.3824504641899993,2706.55663885003,3.986581604910934,24.68681341194793
based on tv series,1.3806178496824848,2647.538638728953,3.729660438230359,24.605789282045954
appreciative,1.379332367427449,2676.5101807518085,3.8937921711891037,24.624161514933345
live action and animation,1.379207242274263,2755.10089828147,3.778046221580908,24.86739168797356
