keyword,2000_2004,2005_2009,2010_2014,2015_2019,2020_2024,mean_rank_slope
dc extended universe (dceu),1530,1662,1576,51,25,462.10000000000014
supervillain,1530,1662,171,127,68,445.90000000000015
cliché,1530,1662,981,140,74,443.4000000000002
based on light novel,1530,1662,725,154,75,441.80000000000007
illumination,1530,1662,127,209,55,440.3000000000003
clown,1530,1662,1159,273,133,418.3000000000003
based on webcomic or webtoon,1530,1662,1576,224,195,410.8000000000001
the conjuring universe,1530,1662,748,487,94,404.70000000000044
sign languages,1530,1662,309,325,188,402.1000000000002
cars,1530,1662,1576,292,226,397.80000000000035
demonic possession,1530,1427,342,438,46,395.70000000000016
murder mystery,1530,1662,494,596,107,391.20000000000016
seinen,1530,1662,996,158,348,386.80000000000024
portal,1530,1662,1576,622,126,384.8000000000002
parenting,1530,1662,1266,772,98,375.40000000000003
jukebox musical,1530,1662,1576,794,105,371.8000000000002
superhero team,1530,702,596,28,42,365.0000000000002
alternate version,1530,1662,1576,577,264,361.70000000000016
spin off,1530,1246,922,401,146,361.3000000000001
japanese high school,1530,846,418,120,96,359.4000000000002
generation z,1530,1662,1576,533,300,358.9000000000002
marvel cinematic universe (mcu),1530,559,106,16,13,357.70000000000016
based on toy,1530,1469,783,464,268,352.9000000000001
slice of life,1530,690,513,157,76,344.1000000000002
seoul,1530,1662,1576,627,330,343.50000000000034
meditative,1530,1662,218,431,436,341.9000000000001
ancient evil,1530,1662,1576,817,259,338.7000000000003
vrmmo,1530,1662,1576,854,245,337.8000000000001
singing,1530,1298,582,436,274,337.40000000000015
abusive father,1504,1662,1576,467,420,336.30000000000024
grief,1360,1228,1576,462,64,335.8000000000001
bdsm,1530,1621,1465,137,611,332.2000000000001
lesbian,1376,1662,1444,412,346,331.00000000000017
social media,1530,1662,1576,153,635,329.90000000000015
reboot,1530,1035,300,442,200,325.3000000000002
boys' love (bl),1530,1662,971,1041,224,323.30000000000007
body horror,1530,1613,1576,1391,41,320.0000000000001
edited from tv series,1530,1662,1576,516,535,313.60000000000014
resurrection,1530,1662,1576,1054,267,313.40000000000015
drug crime,1530,1662,1576,1008,292,313.0000000000001
superhero teamup,1530,1662,1576,1391,103,312.5000000000003
dreary,1530,1060,198,379,308,312.5000000000002
teen superhero,1530,1662,328,1391,113,310.5000000000001
halloween,1247,948,1452,279,34,309.50000000000017
murder investigation,1530,1629,571,606,496,309.10000000000014
