keyword,rank_vote_average,z_score,p_value
based on novel or book,1,-0.31818597997189585,0.908183632734531
sequel,2,-0.3026323195070336,0.9121756487025948
murder,3,-0.29922014691739285,0.590818363273453
intense,4,-0.3129301897157385,0.06786427145708583
based on true story,5,-0.29522696590487396,0.499001996007984
revenge,6,-0.3028432081065555,0.5548902195608783
new york city,7,-0.31002903859326775,0.656686626746507
friendship,8,-0.3029265834752052,0.469061876247505
california,9,-0.28682253891162385,0.47904191616766467
woman director,10,-0.3267131052250458,0.8902195608782435
amused,11,-0.2866694043598399,0.530938123752495
parent child relationship,12,-0.3343268583154566,0.059880239520958084
suspenseful,13,-0.3563972978906778,0.06187624750499002
england,14,-0.3187885882521537,0.11377245508982035
family,15,-0.29391062229965814,0.25349301397205587
villain,16,-0.3323530072274891,0.6946107784431138
anime,17,-0.29274712448395424,0.9181636726546906
france,18,-0.35315078313588605,0.3872255489021956
remake,19,-0.2939621880665033,0.6127744510978044
admiring,20,-0.31661276246486514,0.3373253493013972
coming of age,21,-0.3092997559441943,0.33532934131736525
lgbt,22,-0.31880681385431753,0.469061876247505
love,23,-0.2881468821160566,0.7105788423153693
father daughter relationship,24,-0.3061559969739148,0.11377245508982035
dramatic,25,-0.3271672696263945,0.17764471057884232
biography,26,-0.2767370506335648,0.8702594810379242
female protagonist,27,-0.2976087010603356,0.19161676646706588
based on comic,28,-0.2594550680128904,0.9281437125748503
magic,29,-0.29476284293331034,0.7764471057884231
london,30,-0.30966671505194565,0.3473053892215569
romantic,31,-0.32747094471729743,0.25349301397205587
dystopia,32,-0.33288470587770636,0.8682634730538922
bold,33,-0.3350870554501564,0.2554890219560878
high school,34,-0.328930366233122,0.5728542914171657
los angeles,35,-0.2708989024014989,0.5029940119760479
1980s,36,-0.2990941187866043,0.3393213572854291
hopeful,37,-0.3135156854171845,0.3972055888223553
husband wife relationship,38,-0.30862136902551723,0.4590818363273453
loss of loved one,39,-0.3205860410103388,0.5888223552894212
aggressive,40,-0.3240993213686938,0.5968063872255489
gore,41,-0.29443026855229426,0.281437125748503
paris,42,-0.3051437397885023,0.46706586826347307
sibling relationship,43,-0.3368747054942227,0.5109780439121756
tragic,44,-0.32757409763891776,0.15768463073852296
death,45,-0.28755917315991325,0.3992015968063872
survival,46,-0.26944406959664635,0.5528942115768463
awestruck,47,-0.3396413344088745,0.1996007984031936
brutality,48,-0.31409635050564755,0.22954091816367264
adoring,49,-0.3381799633381351,0.2275449101796407
19th century,50,-0.2802958935051102,0.3772455089820359
whimsical,51,-0.3233249854549946,0.3373253493013972
christmas,52,-0.3093859970038477,0.5808383233532934
dreams,53,-0.30080700809604477,0.0499001996007984
neo-noir,54,-0.2818688669041502,0.4291417165668663
flashback,55,-0.3396519089690456,0.2435129740518962
superhero,56,-0.292353222623283,0.9101796407185628
japan,57,-0.2758593547854025,0.6287425149700598
playful,58,-0.2996164303294534,0.3852295409181637
time travel,59,-0.28751303101489295,0.6087824351297405
supernatural,60,-0.35208717679873436,0.7944111776447106
1960s,61,-0.30345452629786507,0.249500998003992
anxious,62,-0.31354916717850195,0.2554890219560878
hilarious,63,-0.3466396941258908,0.5289421157684631
sentimental,64,-0.3009232438068507,0.3393213572854291
compassionate,65,-0.28808845124341925,0.2774451097804391
mother son relationship,66,-0.3115678353054243,0.11177644710578842
school,67,-0.28875080836593836,0.5768463073852296
martial arts,68,-0.26814849850520633,0.9161676646706587
dark comedy,69,-0.3088089785534834,0.7265469061876247
melancholy,70,-0.3380794895417731,0.35728542914171657
inspirational,71,-0.33969639460034845,0.6327345309381237
complex,72,-0.33064893556168606,0.2435129740518962
romance,73,-0.2684500770194058,0.4750499001996008
family relationships,74,-0.31749497062480564,0.46506986027944114
musical,75,-0.31621825436539913,0.8403193612774451
vibrant,76,-0.28634985727476786,0.7085828343313373
based on manga,77,-0.2965628161168885,0.6526946107784432
torture,78,-0.3459186537746828,0.40119760479041916
excited,79,-0.3093592789618303,0.18562874251497005
comforting,80,-0.35500272351733975,0.4091816367265469
rescue,81,-0.279620193079818,0.24550898203592814
gay theme,82,-0.26543222708432246,0.500998003992016
suicide,83,-0.3144763705681953,0.4151696606786427
antagonistic,84,-0.34478729816859455,0.3413173652694611
demon,85,-0.32748319635620016,0.4171656686626746
loving,86,-0.3308710805206207,0.2055888223552894
1970s,87,-0.3426160869291689,0.530938123752495
appreciative,88,-0.31116839849028877,0.6467065868263473
ambiguous,89,-0.30426495304997464,0.4111776447105788
audacious,90,-0.27899485108796496,0.7345309381237525
kidnapping,91,-0.38649695806567314,0.624750499001996
affectation,92,-0.2977865238781222,0.43313373253493015
based on young adult novel,93,-0.2932221129132683,0.7924151696606786
usa,94,-0.3005454442496528,0.3473053892215569
mother daughter relationship,95,-0.339703523981284,0.2754491017964072
drugs,96,-0.304423123002611,0.7405189620758483
investigation,97,-0.27986940316999925,0.6067864271457086
tragedy,98,-0.32800037362008705,0.2275449101796407
obsession,99,-0.33910230528341406,0.36127744510978044
angry,100,-0.29582572066242485,0.4311377245508982
nostalgic,101,-0.3428143123266992,0.43912175648702595
south korea,102,-0.352931549851671,0.17564870259481039
powerful,103,-0.3522806603254653,0.14171656686626746
road trip,104,-0.3420911950887892,0.46706586826347307
detective,105,-0.286173576779841,0.874251497005988
hero,106,-0.3107243212231477,0.48902195608782434
bullying,107,-0.3462058959281197,0.2055888223552894
fight,108,-0.2830592135691421,0.6187624750499002
police,109,-0.32422291696734246,0.7704590818363274
serial killer,110,-0.2954519699017356,0.8183632734530938
adult animation,111,-0.37135204845178166,0.249500998003992
empathetic,112,-0.32117133661000524,0.5169660678642715
absurd,113,-0.29187402694765147,0.844311377245509
world war ii,114,-0.267094202047822,0.782435129740519
thoughtful,115,-0.2950231191317608,0.08183632734530938
shocking,116,-0.34590175437718385,0.09780439121756487
hospital,117,-0.34381153949312765,0.41916167664670656
reflective,118,-0.3227586995105285,0.2754491017964072
exhilarated,119,-0.29804960090272836,0.3273453093812375
complicated,120,-0.3391284308512798,0.2315369261477046
battle,121,-0.2790375459854481,0.8003992015968064
witty,122,-0.31911947736833035,0.27345309381237526
best friend,123,-0.36248279691827534,0.32934131736526945
dog,124,-0.3058385001689647,0.5668662674650699
daughter,125,-0.2659495868438635,0.4351297405189621
religion,126,-0.3539566771899156,0.3592814371257485
father son relationship,127,-0.2552480565622694,0.6107784431137725
scientist,128,-0.2686682343823318,0.6506986027944112
psychological thriller,129,-0.3024956691459163,0.3652694610778443
witch,130,-0.27650857302356446,0.7345309381237525
sign languages,131,-0.3587170676290059,0.1157684630738523
dying and death,132,-0.3363001177625919,0.3652694610778443
future,133,-0.2897850789516853,0.716566866267465
introspective,134,-0.3389887873055376,0.16766467065868262
sympathetic,135,-0.32311595087401346,0.6686626746506986
rape,136,-0.30890035624794104,0.624750499001996
melodramatic,137,-0.3118488054684011,0.3772455089820359
gangster,138,-0.3354884699854475,0.6407185628742516
exuberant,139,-0.3190876545732999,0.36926147704590817
surrealism,140,-0.2857041301330334,0.43912175648702595
betrayal,141,-0.3136205043256013,0.5209580838323353
psychopath,142,-0.2732970261538925,0.6207584830339321
mysterious,143,-0.3332819306771688,0.2894211576846307
mission,144,-0.35832406242777715,0.25349301397205587
celebratory,145,-0.3068205718943254,0.6107784431137725
sports,146,-0.24769260125041032,0.8942115768463074
corruption,147,-0.32536687345727494,0.5548902195608783
assassin,148,-0.31303030527741843,0.6626746506986028
loneliness,149,-0.3572291130408177,0.15768463073852296
cautionary,150,-0.3231197326328761,0.5948103792415169
alcoholic,151,-0.31683455794652104,0.18163672654690619
cheerful,152,-0.2629648632688063,0.5848303393213573
pennsylvania,153,-0.34989734731217564,0.2994011976047904
forest,154,-0.2874899055404322,0.6067864271457086
racism,155,-0.372951375952464,0.3033932135728543
small town,156,-0.292247281347101,0.43313373253493015
philosophical,157,-0.3200087387029397,0.4151696606786427
alien,158,-0.2971915072883019,0.8882235528942116
baffled,159,-0.3338848850666992,0.45708582834331335
manipulation,160,-0.35851650087595865,0.14570858283433133
earnest,161,-0.2938127361635253,0.2834331337325349
teenager,162,-0.35167511663060375,0.3652694610778443
