title,vote_average,vote_count,revenue,keywords
Inception,8.371,38348,839030630,"rescue, mission, dreams, airplane, paris, france, virtual reality, kidnapping, philosophy, spy, allegory, manipulation, car crash, heist, memory, architecture, los angeles, california, death, dream world, subconscious, intense, dream"
How to Train Your Dragon,7.854,13924,495141736,"friendship, ship, blacksmith, island, based on novel or book, flying, arena, village, affectation, villain, training, ignorance, vikings (norsemen), forest, flight, nest, dragon, battle, combat, nostalgic, well, warrior, pets, philosophical, reflective, wonder, loving, playful, serene, lighthearted, intimate, sentimental, witty, hilarious, romantic, whimsical, admiring, adoring, amused, awestruck, celebratory, cheerful, comforting, compassionate, empathetic, euphoric, excited, familiar, gentle, hopeful, optimistic, powerful, sincere, sympathetic, vibrant"
Harry Potter and the Deathly Hallows: Part 1,7.738,19914,954305868,"witch, friendship, london, england, corruption, escape, teleportation, isolation, magic, bravery, radio, road trip, shelter, tension, attack, werewolf, ghost, road movie, wizard, christmas, based on young adult novel, teen fantasy"
Iron Man 2,6.848,21880,623933331,"technology, superhero, malibu, based on comic, revenge, aftercreditsstinger, marvel cinematic universe (mcu), break out, irreverent"
Percy Jackson & the Olympians: The Lightning Thief,6.211,7683,226497209,"monster, based on novel or book, greek mythology, dyslexia, god, poseidon, lightning bolt, fantasy world, demigod, based on young adult novel, پرسی جکسون و المپ‌ نشینان : دزد صاعقه, پرسی جکسون و دزد صاعقه, پرسی جکسون و دزد آذرخش"
The Sanatorium,4.9,15,0,"sanatorium, ghost, found footage"
Tangled,7.609,12035,592461732,"princess, magic, hostage, fairy tale, horse, villain, musical, blonde, coming of age, tower, selfishness, healing power, female villain, adventurer, based on fairy tale, duringcreditsstinger, healing gift, animal sidekick, magic land, 3d animation, comforting"
Shutter Island,8.201,25130,294804195,"island, based on novel or book, hurricane, investigation, u.s. marshal, conspiracy theory, psychiatric hospital, psychological thriller, whodunit, neo-noir, frantic, 1950s, clinical, whimsical, cruel, suspense mystery"
Toy Story 3,7.803,15321,1067316101,"escape, hostage, college, villain, sequel, buddy, daycare, teddy bear, duringcreditsstinger, toy comes to life, personification, inanimate objects come to life, derogatory"
Shrek Forever After,6.391,7738,752600867,"witch, villain, sequel, ogre"
A Serbian Film,5.446,2142,0,"mask, pedophilia, suicide, pornography, rape, sexual abuse, sadism, necrophilia, insanity, perversity, masochism, controversy, snuff, gore, sadomasochism, porn star, serbia, sexual violence, murder, statutory rape, torture, fear, rape and murder, brutality, sexual sadism, incest, evil, sexual torture, depravity, infanticide, murder by gunshot, child sexual abuse, shocksploitation, low budget, banned film, male rape, child homicide, graphic violence, sexual brutality, sexual cruelty"
TRON: Legacy,6.531,7649,409912892,"artificial intelligence (a.i.), computer program, secret identity, dystopia, simulation, super computer, utopia, deception, computer simulation, sequel, computer game, 80s style, autocracy, adoring, awestruck"
Nanny McPhee and the Big Bang,6.3,1901,93251121,"nanny, nostalgic, aftercreditsstinger, duringcreditsstinger, woman director, based on young adult novel"
Three Steps Above Heaven,7.723,3164,0,"friendship, based on novel or book, rebel, forbidden love, motorcycle crash, motor sport, street race, love, best friend, motorcycle, teenage love, first love, young love, teen rebel, based on young adult novel"
Separation Anxiety,0.0,0,0,"redemption, love, tragedy, death"
Alice in Wonderland,6.636,14488,1025467110,"based on novel or book, queen, psychotic, fantasy world, taunting, live action remake, based on young adult novel, mischievous, absurd, dramatic, incredulous, amused, euphoric"
Predators,6.294,4428,127200000,"hunter, predator, yakuza, alien life-form, sequel, alien, alien planet, jungle, creature, soldier, warrior"
Post Mortem,6.051,59,0,"1970s, autopsy, morgue, chile"
Diary of a Wimpy Kid,6.259,1712,76196538,"cheese, coming of age, breaking the fourth wall, young boy, middle school, based on children's book, duringcreditsstinger, live action and animation, line drawing, child protagonist, casual"
Despicable Me,7.253,15707,543284256,"moon, parent child relationship, orphanage, villain, adoptive father, life's dream, rivalry, ballet, stealing, little girl, orphan, tomboy, intelligent, evil doctor, duringcreditsstinger, supervillain, illumination, joyful"
The Social Network,7.371,12776,224920315,"hacker, based on novel or book, boston, massachusetts, ex-girlfriend, harvard university, narcissism, based on true story, hacking, historical fiction, twins, double cross, creator, frat party, social network, deposition, intellectual property, entrepreneur, arrogance, social media, meditative, young entrepreneur, facebook, legal drama, antagonistic, callous, wry"
Grown Ups,6.4,6470,271430189,"friendship, overweight, affectation, convertible, swing, foot, friends, arrow, buddy comedy, buddies, playful, absurd, amused"
Sinterklaas: The Mystery Of The Presents,7.0,1,0,"holiday, sinterklaas"
A Turtle's Tale: Sammy's Adventures,6.028,670,71594792,"friendship, global warming, underwater, sea turtle, sea creature"
Twice: The Extraordinary Life of Tsutomu Yamaguchi,7.7,14,0,"atomic bomb, world war ii, hiroshima, japan, nagasaki, hibakusha"
The 8th Crown: The Official 2010 FIFA World Cup Film,6.5,7,0,"sports, world cup, south africa, football (soccer)"
The Way,7.132,628,13900000,"spain, france, parent child relationship, pilgrimage, road trip, pilgrim, travel, pyrenees mountain ridge, death of son, saint-jacques-de-compostelle, pèlerinage, camino de santiago"
Come Undone,5.9,181,0,"extramarital affair, unfaithful husband"
Kick-Ass,7.122,12092,96188903,"hero, secret identity, crime fighter, superhero, dark comedy, comic book, based on comic, murder, mafia, family, realism, mist, adventurer, rookie, young heroes, aggressive, young adult, criminal heroes, pretending to be gay, intense, powerful"
The Extraordinary Adventures of Adèle Blanc-Sec,6.238,1437,34604339,"monster, paris, france, mummy, louvre museum, based on comic, dinosaur, tomb, egyptology, adventurer, pterodactyl, mummy's curse, runaway mummy"
Legend of the Guardians: The Owls of Ga'Hoole,6.822,2405,140073390,"friendship, villain, heroism, brother against brother, clash of clans, owl"
